pais;codigo;anyo;investigacion_pib
Argentina;ARG;1996;0.41749
Argentina;ARG;1997;0.41959
Argentina;ARG;1998;0.41131
Argentina;ARG;1999;0.45337
Argentina;ARG;2000;0.43884
Argentina;ARG;2001;0.42461
Argentina;ARG;2002;0.38886
Argentina;ARG;2003;0.41013
Argentina;ARG;2004;0.40376
Argentina;ARG;2005;0.42074
Argentina;ARG;2006;0.45216
Argentina;ARG;2007;0.46007
Argentina;ARG;2008;0.47055
Argentina;ARG;2009;0.58398
Argentina;ARG;2010;0.56104
Argentina;ARG;2011;0.56597
Argentina;ARG;2012;0.63491
Argentina;ARG;2013;0.61849
Argentina;ARG;2014;0.59396
Argentina;ARG;2015;0.62262
Argentina;ARG;2016;0.55815
Argentina;ARG;2017;0.55631
Argentina;ARG;2018;0.4883
Argentina;ARG;2019;0.47813
Argentina;ARG;2020;0.54126
Argentina;ARG;2021;0.52216
Argentina;ARG;2022;0.54947
Australia;AUS;1996;1.66218
Australia;AUS;1998;1.51351
Australia;AUS;2000;1.57198
Australia;AUS;2002;1.74654
Australia;AUS;2004;1.84802
Australia;AUS;2006;2.17862
Australia;AUS;2008;2.39898
Australia;AUS;2010;2.37009
Australia;AUS;2011;2.23445
Australia;AUS;2013;2.17709
Australia;AUS;2015;1.91902
Australia;AUS;2017;1.87919
Australia;AUS;2019;1.8257
Australia;AUS;2021;1.85509
Austria;AUT;1996;1.58077
Austria;AUT;1997;1.65491
Austria;AUT;1998;1.73155
Austria;AUT;1999;1.84537
Austria;AUT;2000;1.88602
Austria;AUT;2001;1.9921
Austria;AUT;2002;2.06598
Austria;AUT;2003;2.17456
Austria;AUT;2004;2.16612
Austria;AUT;2005;2.37324
Austria;AUT;2006;2.35923
Austria;AUT;2007;2.41843
Austria;AUT;2008;2.56945
Austria;AUT;2009;2.59674
Austria;AUT;2010;2.7261
Austria;AUT;2011;2.66868
Austria;AUT;2012;2.91472
Austria;AUT;2013;2.95492
Austria;AUT;2014;3.08429
Austria;AUT;2015;3.04969
Austria;AUT;2016;3.11655
Austria;AUT;2017;3.05656
Austria;AUT;2018;3.09182
Austria;AUT;2019;3.13265
Austria;AUT;2020;3.20278
Austria;AUT;2021;3.26361
Austria;AUT;2022;3.20048
Azerbaiyán;AZE;1996;0.23533
Azerbaiyán;AZE;1997;0.3695
Azerbaiyán;AZE;1998;0.42125
Azerbaiyán;AZE;1999;0.39289
Azerbaiyán;AZE;2000;0.336
Azerbaiyán;AZE;2001;0.34001
Azerbaiyán;AZE;2002;0.30155
Azerbaiyán;AZE;2003;0.32496
Azerbaiyán;AZE;2004;0.29831
Azerbaiyán;AZE;2005;0.21994
Azerbaiyán;AZE;2006;0.17165
Azerbaiyán;AZE;2007;0.17006
Azerbaiyán;AZE;2008;0.16554
Azerbaiyán;AZE;2009;0.24976
Azerbaiyán;AZE;2010;0.21848
Azerbaiyán;AZE;2011;0.21084
Azerbaiyán;AZE;2012;0.21427
Azerbaiyán;AZE;2013;0.20969
Azerbaiyán;AZE;2014;0.20978
Azerbaiyán;AZE;2015;0.22232
Azerbaiyán;AZE;2016;0.20637
Azerbaiyán;AZE;2017;0.18468
Azerbaiyán;AZE;2018;0.18416
Azerbaiyán;AZE;2019;0.20013
Azerbaiyán;AZE;2020;0.2239
Azerbaiyán;AZE;2021;0.20836
Azerbaiyán;AZE;2022;0.1513
Azerbaiyán;AZE;2023;0.18178
Bielorrusia;BLR;1996;0.99852
Bielorrusia;BLR;1997;0.73
Bielorrusia;BLR;1998;0.70578
Bielorrusia;BLR;1999;0.84523
Bielorrusia;BLR;2000;0.7221
Bielorrusia;BLR;2001;0.70876
Bielorrusia;BLR;2002;0.6209
Bielorrusia;BLR;2003;0.61147
Bielorrusia;BLR;2004;0.62759
Bielorrusia;BLR;2005;0.67852
Bielorrusia;BLR;2006;0.66065
Bielorrusia;BLR;2007;0.96203
Bielorrusia;BLR;2008;0.74147
Bielorrusia;BLR;2009;0.62167
Bielorrusia;BLR;2010;0.66913
Bielorrusia;BLR;2011;0.6776
Bielorrusia;BLR;2012;0.64603
Bielorrusia;BLR;2013;0.65191
Bielorrusia;BLR;2014;0.50548
Bielorrusia;BLR;2015;0.49999
Bielorrusia;BLR;2016;0.50063
Bielorrusia;BLR;2017;0.58411
Bielorrusia;BLR;2018;0.60443
Bielorrusia;BLR;2019;0.57733
Bielorrusia;BLR;2020;0.53901
Bielorrusia;BLR;2021;0.45981
Bielorrusia;BLR;2022;0.47477
Bielorrusia;BLR;2023;0.57843
Bélgica;BEL;1996;1.74299
Bélgica;BEL;1997;1.80971
Bélgica;BEL;1998;1.83825
Bélgica;BEL;1999;1.90565
Bélgica;BEL;2000;1.9362
Bélgica;BEL;2001;2.03279
Bélgica;BEL;2002;1.90325
Bélgica;BEL;2003;1.84119
Bélgica;BEL;2004;1.8205
Bélgica;BEL;2005;1.79061
Bélgica;BEL;2006;1.82269
Bélgica;BEL;2007;1.84999
Bélgica;BEL;2008;1.93684
Bélgica;BEL;2009;1.9986
Bélgica;BEL;2010;2.06188
Bélgica;BEL;2011;2.17332
Bélgica;BEL;2012;2.28114
Bélgica;BEL;2013;2.33073
Bélgica;BEL;2014;2.37002
Bélgica;BEL;2015;2.42817
Bélgica;BEL;2016;2.52338
